Habitat,Site,Site_1,Lat,Long,BM_Notes,Other_Notes
Tributary,Lower_No_Name_Creek,Lower No Name Creek,60.550888,-151.268417,Coordinates from Guerron Orejuela 2015 KWF report,
Tributary,Upper_No_Name_Creek,Upper No Name Creek,60.577846,-151.268588,Coordinates provided by MH,
Tributary,Lower_Soldotna_Creek,Lower Soldotna Creek,60.483364,-151.057656,Coordinates from Guerron Orejuela 2015 KWF report,
Tributary,Upper_Soldotna_Creek,Upper Soldotna Creek,60.550828,-150.958325,Coordinates provided by MH,
Tributary,Lower_Beaver_Creek,Lower Beaver Creek,60.548029,-151.14324,Coords estimated by B Meyer from Fig. 1 in 2019 report and Google Earth,
Tributary,Upper_Beaver_Creek,Upper Beaver Creek,60.641201,-151.084718,Coordinates provided by MH,
Tributary,Lower_Slikok_Creek,Lower Slikok Creek,60.482318,-151.127053,Coordinates from Guerron Orejuela 2015 KWF report,
Tributary,Upper_Slikok_Creek,Upper Slikok Creek,60.402664,-151.147385,Coordinates provided by MH,
Tributary,Lower_Funny_River,Lower Funny River,60.489963,-150.860982,Coordinates from Guerron Orejuela 2015 KWF report,
Mainstem,City_of_Kenai_Docks,City of Kenai Docks,60.54368,-151.22294,Coordinates from Guerron Orejuela 2015 KWF report,
Mainstem,Cunningham_Park,Cunningham Park,60.54081,-151.18278,Coordinates from Guerron Orejuela 2015 KWF report,
Mainstem,Upstream_of_Beaver_Creek,Upstream of Beaver Creek,60.539279,-151.142263,Coordinates from Guerron Orejuela 2015 KWF report,
Mainstem,Pillars,Pillars,60.533743,-151.099258,Coordinates from Guerron Orejuela 2015 KWF report,
Mainstem,Poachers_Cove,Poacher's Cove,60.502005,-151.106973,Coordinates from Guerron Orejuela 2015 KWF report,
Mainstem,Soldotna_Bridge,Soldotna Bridge,60.476634,-151.082099,Coordinates from Guerron Orejuela 2015 KWF report,
Mainstem,Slikok_Creek_Kenai_River_Confluence,Slikok Creek Kenai River Confluence,60.482752,-151.125116,Coordinates provided by MH,
Mainstem,Swiftwater_Park,Swiftwater Park,60.480338,-151.030847,Coordinates from Guerron Orejuela 2015 KWF report,
Mainstem,Jims_Landing,Jim's Landing,60.481392,-150.11502,Coordinates from Guerron Orejuela 2015 KWF report,
Mainstem,Skilak_Lake_Outlet,Skilak Lake Outlet,60.467517,-150.507789,Coordinates from Guerron Orejuela 2015 KWF report,
